member,address,start_date,end_date,season
Brichis (Anticapture Commission Lead),0x7fc80fad32ec41fd5cfcc14eee9c31953b6b4a8b,04-01-2024,26-06-2024,5
Gonna.eth (Grants Council Lead),0xdcf7be2ff93e1a7671724598b1526f3a33b1ec25,04-01-2024,26-06-2024,5
Gene (Code of Conduct Council Representative),0x4318cc449b1cbe6d64dd82e16abe58c79e076c2b,04-01-2024,26-06-2024,5
Blockchain @ USC,0x995013b47ef3a2b07b9e60da6d1fff8fa9c53cf4,04-01-2024,26-06-2024,5
Butterbum,0x0331969e189d63fbc31d771bb04ab44227d748d8,04-01-2024,26-06-2024,5
Ceresstation,0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,04-01-2024,26-06-2024,5
GFX Labs,0xa6e8772af29b29b9202a073f8e36f447689beef6,04-01-2024,26-06-2024,5
Griff Green,0x4d9339dd97db55e3b9bcbe65de39ff9c04d1c2cd,04-01-2024,26-06-2024,5
ITU Blockchain,0xbec643bd5b7f5e9190617ca4187ef0455950c51c,04-01-2024,26-06-2024,5
Joxes (SEED Latam),0x94db037207f6fb697dbd33524aadffd108819dc8,04-01-2024,26-06-2024,5
Katie Garcia,0x75536cf4f01c2bfa528f5c74ddc1232db3af3ee5,04-01-2024,26-06-2024,5
L2BEATs,0x1b686ee8e31c5959d9f5bbd8122a58682788eead,04-01-2024,26-06-2024,5
Michael Vander Meiden,0x6eda5acaff7f5964e1ecc3fd61c62570c186ca0c,04-01-2024,26-06-2024,5
MinimalGravitas,0x7899d9b1181cbb427b0b1be0684c096c260f7474,04-01-2024,26-06-2024,5
MoneyManDoug,0xd23199f1222c418ffc74c385171330b21b16e452,04-01-2024,26-06-2024,5
OPUser,0x1de2a056508e0d0dd88a88f1f5cdf9cfa510795c,04-01-2024,26-06-2024,5
PGov,0x3fb19771947072629c8eee7995a2ef23b72d4c8a,04-01-2024,26-06-2024,5
StableLab,0xecc2a9240268bc7a26386ecb49e1befca2706ac9,04-01-2024,26-06-2024,5
web3magnetic,0x8c580556fdb1f57853e49f409ae9b89f7658e7a2,04-01-2024,26-06-2024,5
404 DAO,0xe93d59cc0bcecfd4ac204827ef67c5266079e2b5,04-01-2024,26-06-2024,5
Web3magnetic,0x8c580556fdb1f57853e49f409ae9b89f7658e7a2,27-06-2024,31-12-2024,6
@katie,0x75536cf4f01c2bfa528f5c74ddc1232db3af3ee5,27-06-2024,31-12-2024,6
@Brichis,0x7fc80fad32ec41fd5cfcc14eee9c31953b6b4a8b,27-06-2024,31-12-2024,6
MinimalGravitas,0x7899d9b1181cbb427b0b1be0684c096c260f7474,27-06-2024,31-12-2024,6
OPUser,0x1de2a056508e0d0dd88a88f1f5cdf9cfa510795c,27-06-2024,31-12-2024,6
seedlatam,0xd43b89621ffd48a8a51704f85fd0c87cbc0eb299,27-06-2024,31-12-2024,6
MattL,0x406b607644c5d7bfda95963201e45a4c6ab1c159,27-06-2024,31-12-2024,6
PGov,0x3fb19771947072629c8eee7995a2ef23b72d4c8a,27-06-2024,31-12-2024,6
blockchainatusc,0x995013b47ef3a2b07b9e60da6d1fff8fa9c53cf4,27-06-2024,31-12-2024,6
404DAO,0xe93d59cc0bcecfd4ac204827ef67c5266079e2b5,27-06-2024,31-12-2024,6
Michael,0x6eda5acaff7f5964e1ecc3fd61c62570c186ca0c,27-06-2024,31-12-2024,6
Tane,0xb79294d00848a3a4c00c22d9367f19b4280689d7,27-06-2024,31-12-2024,6
stevegachau.eth,0x1208a26faa0f4ac65b42098419eb4daa5e580ac6,27-06-2024,31-12-2024,6
GFXlabs,0xa6e8772af29b29b9202a073f8e36f447689beef6,27-06-2024,31-12-2024,6
Butterbum,0x0331969e189d63fbc31d771bb04ab44227d748d8,27-06-2024,31-12-2024,6
kaereste (L2 Beat),0x1b686ee8e31c5959d9f5bbd8122a58682788eead,27-06-2024,31-12-2024,6
she256,0xed11e5ea95a5a3440fbaadc4cc404c56d0a5bb04,27-06-2024,31-12-2024,6
chomtana,0x5f4bcccb5c2cbb01c619f5cfed555466e31679b6,27-06-2024,31-12-2024,6
olimpio,0xf4b0556b9b6f53e00a1fdd2b0478ce841991d8fa,27-06-2024,31-12-2024,6
Moneymandoug,0xd23199f1222c418ffc74c385171330b21b16e452,27-06-2024,31-12-2024,6
StableLab,0xecc2a9240268bc7a26386ecb49e1befca2706ac9,27-06-2024,31-12-2024,6
Griff,0x4d9339dd97db55e3b9bcbe65de39ff9c04d1c2cd,27-06-2024,31-12-2024,6
Gauntlet,0x36f37f8571afc3486d33ee7b1c7f12c0211e9891,27-06-2024,31-12-2024,6
v3naru_Curia (Curia Labs),0x17296956b4e07ff8931e4ff4ea06709fab70b879,27-06-2024,31-12-2024,6
